2013-04-23T09:03:23.8643359,OnForceAssistConcert,\N
2013-04-23T09:03:36.8434527,OnEarthquakeStarted,Train: 120| Helicopter: 245| Last Tsunami: 265
2013-04-23T09:05:04.8892883,OnTsunamiLaunched,Wave: 0| Delay: 120| Duration: 30| WaterDelay: 25
2013-04-23T09:07:04.9461187,OnTrainDeparted,\N
2013-04-23T09:07:34.8979267,OnTsunamiLaunched,Wave: 1| Delay: 40| Duration: 25| WaterDelay: 20
2013-04-23T09:10:55.6998395,RequestCarSpawnPoint,Participant16
2013-04-23T09:10:55.7622391,OnCarTaken,100
2013-04-23T09:10:55.7622391,ReplyCarSpawnPoint,Player: Participant16| Spawn point: 0
2013-04-23T09:11:26.6500411,RequestCarSpawnPoint,Participant28
2013-04-23T09:11:26.6500411,OnCarTaken,106
2013-04-23T09:11:26.7124407,ReplyCarSpawnPoint,Player: Participant28| Spawn point: 1
2013-04-23T09:11:27.5860351,RequestCarSpawnPoint,Participant05
2013-04-23T09:11:27.5860351,OnCarTaken,100
2013-04-23T09:11:27.6484347,ReplyCarSpawnPoint,Player: Participant05| Spawn point: 2
2013-04-23T09:11:31.5172099,RequestCarSpawnPoint,Participant06
2013-04-23T09:11:31.5172099,OnCarTaken,104
2013-04-23T09:11:31.5172099,ReplyCarSpawnPoint,Player: Participant06| Spawn point: 3
2013-04-23T09:11:32.3908043,RequestCarSpawnPoint,Participant42
2013-04-23T09:11:32.3908043,OnCarTaken,118
2013-04-23T09:11:32.4532039,ReplyCarSpawnPoint,Player: Participant42| Spawn point: 4
2013-04-23T09:11:33.7635955,RequestCarSpawnPoint,Participant29
2013-04-23T09:11:33.7635955,OnCarTaken,106
2013-04-23T09:11:33.8259951,ReplyCarSpawnPoint,Player: Participant29| Spawn point: 5
2013-04-23T09:11:37.2579731,RequestCarSpawnPoint,Participant31
2013-04-23T09:11:37.2579731,OnCarTaken,100
2013-04-23T09:11:37.3203727,ReplyCarSpawnPoint,Player: Participant31| Spawn point: 6
2013-04-23T09:11:39.7539571,RequestCarSpawnPoint,Participant15
2013-04-23T09:11:39.7539571,OnCarTaken,106
2013-04-23T09:11:39.8163567,ReplyCarSpawnPoint,Player: Participant15| Spawn point: 7
2013-04-23T09:11:43.9347303,RequestCarSpawnPoint,Participant12
2013-04-23T09:11:43.9347303,OnCarTaken,116
2013-04-23T09:11:44.0595295,ReplyCarSpawnPoint,Player: Participant12| Spawn point: 8
2013-04-23T09:11:47.6163067,RequestCarSpawnPoint,Participant35
2013-04-23T09:11:47.6787063,OnCarTaken,110
2013-04-23T09:11:47.6787063,RequestCarSpawnPoint,Participant17
2013-04-23T09:11:47.8035055,ReplyCarSpawnPoint,Player: Participant35| Spawn point: 9
2013-04-23T09:11:47.9283047,OnCarTaken,106
2013-04-23T09:11:47.9907043,ReplyCarSpawnPoint,Player: Participant17| Spawn point: 10
2013-04-23T09:11:49.5506943,RequestCarSpawnPoint,Participant20
2013-04-23T09:11:49.5506943,OnCarTaken,106
2013-04-23T09:11:49.6754935,ReplyCarSpawnPoint,Player: Participant20| Spawn point: 11
2013-04-23T09:11:51.0482847,RequestCarSpawnPoint,Participant08
2013-04-23T09:11:51.1106843,OnCarTaken,110
2013-04-23T09:11:51.2978831,ReplyCarSpawnPoint,Player: Participant08| Spawn point: 0
